age,mean,upper,sd,gender
144.5,17.81463,24.22985,3.911719512,boy
145.5,17.86795,24.31172,3.929128049,boy
146.5,17.92155,24.3931,3.946067073,boy
147.5,17.97544,24.47397,3.962518293,boy
148.5,18.02961,24.55434,3.978493902,boy
149.5,18.08404,24.6342,3.994,boy
150.5,18.13873,24.71352,4.009018293,boy
151.5,18.19367,24.79232,4.023567073,boy
152.5,18.24884,24.87058,4.037646341,boy
153.5,18.30426,24.94829,4.051237805,boy
154.5,18.35989,25.02545,4.064365854,boy
155.5,18.41574,25.10206,4.07702439,boy
156.5,18.4718,25.17811,4.089213415,boy
157.5,18.52805,25.2536,4.100945122,boy
158.5,18.5845,25.32853,4.112213415,boy
159.5,18.64113,25.40289,4.12302439,boy
160.5,18.69793,25.47668,4.133384146,boy
161.5,18.75489,25.5499,4.14329878,boy
162.5,18.81202,25.62256,4.152768293,boy
163.5,18.86929,25.69464,4.16179878,boy
164.5,18.9267,25.76616,4.170402439,boy
165.5,18.98424,25.83712,4.178585366,boy
166.5,19.04191,25.90751,4.186341463,boy
167.5,19.0997,25.97734,4.193682927,boy
168.5,19.15759,26.04662,4.200628049,boy
169.5,19.21558,26.11535,4.207176829,boy
170.5,19.27366,26.18353,4.213335366,boy
171.5,19.33182,26.25117,4.219115854,boy
172.5,19.39006,26.31828,4.22452439,boy
173.5,19.44837,26.38485,4.229560976,boy
174.5,19.50673,26.45091,4.234256098,boy
175.5,19.56514,26.51646,4.238609756,boy
176.5,19.6236,26.58151,4.242628049,boy
177.5,19.68208,26.64606,4.246329268,boy
178.5,19.7406,26.71014,4.249719512,boy
179.5,19.79912,26.77374,4.252817073,boy
180.5,19.85766,26.83688,4.255621951,boy
181.5,19.9162,26.89958,4.258158537,boy
182.5,19.97473,26.96184,4.260432927,boy
183.5,20.03324,27.02368,4.262463415,boy
184.5,20.09172,27.08511,4.264262195,boy
185.5,20.15017,27.14616,4.265847561,boy
186.5,20.20858,27.20683,4.26722561,boy
187.5,20.26694,27.26714,4.268414634,boy
188.5,20.32524,27.3271,4.269426829,boy
189.5,20.38346,27.38675,4.27029878,boy
190.5,20.44162,27.44609,4.271018293,boy
191.5,20.49968,27.50514,4.271621951,boy
192.5,20.55765,27.56393,4.272121951,boy
193.5,20.61551,27.62247,4.272536585,boy
194.5,20.67326,27.68078,4.272878049,boy
195.5,20.73089,27.7389,4.273176829,boy
196.5,20.78839,27.79683,4.273439024,boy
197.5,20.84574,27.85461,4.27370122,boy
198.5,20.90294,27.91225,4.273969512,boy
199.5,20.95999,27.96979,4.274268293,boy
200.5,21.01686,28.02724,4.274621951,boy
201.5,21.07356,28.08464,4.27504878,boy
202.5,21.13007,28.142,4.275567073,boy
203.5,21.18638,28.19937,4.276213415,boy
204.5,21.24248,28.25676,4.277,boy
205.5,21.29836,28.3142,4.27795122,boy
206.5,21.35402,28.37173,4.279091463,boy
207.5,21.40944,28.42937,4.280445122,boy
208.5,21.46461,28.48716,4.282042683,boy
209.5,21.51952,28.54513,4.283908537,boy
210.5,21.57417,28.6033,4.286054878,boy
211.5,21.62854,28.66171,4.288518293,boy
212.5,21.68262,28.72041,4.291335366,boy
213.5,21.7364,28.77941,4.294518293,boy
214.5,21.78988,28.83875,4.298091463,boy
215.5,21.84304,28.89848,4.302097561,boy
216.5,21.89587,28.95862,4.306554878,boy
217.5,21.94836,29.01921,4.311493902,boy
218.5,22.00051,29.0803,4.316945122,boy
219.5,22.05229,29.14191,4.322939024,boy
220.5,22.10371,29.20409,4.3295,boy
221.5,22.15476,29.26687,4.336652439,boy
222.5,22.20541,29.3303,4.344445122,boy
223.5,22.25567,29.39442,4.352896341,boy
224.5,22.30553,29.45926,4.362030488,boy
225.5,22.35497,29.52487,4.371890244,boy
226.5,22.40399,29.5913,4.382506098,boy
227.5,22.45257,29.65857,4.393902439,boy
228.5,22.50072,29.72674,4.406109756,boy
229.5,22.54841,29.79585,4.419170732,boy
230.5,22.59565,29.86595,4.433109756,boy
231.5,22.64243,29.93707,4.44795122,boy
232.5,22.68873,30.00927,4.463743902,boy
233.5,22.73456,30.08258,4.4805,boy
234.5,22.7799,30.15706,4.498268293,boy
235.5,22.82474,30.23276,4.517085366,boy
236.5,22.86909,30.30971,4.536963415,boy
237.5,22.91293,30.38797,4.55795122,boy
238.5,22.95626,30.46758,4.580073171,boy
239.5,22.99908,30.54859,4.603359756,boy
240,23.02029,30.58964,4.615457317,boy
240.5,23.04138,30.63106,4.627853659,boy
24,16.4234,19.10624,1.635878049,girl
24.5,16.38804,19.05824,1.628170732,girl
25.5,16.31897,18.96595,1.614012195,girl
26.5,16.25208,18.87853,1.601493902,girl
27.5,16.18735,18.79591,1.590585366,girl
28.5,16.12475,18.718,1.58125,girl
29.5,16.06429,18.64472,1.573432927,girl
30.5,16.00593,18.57599,1.567109756,girl
31.5,15.94967,18.51173,1.562231707,girl
32.5,15.89548,18.45187,1.55877439,girl
33.5,15.84336,18.39632,1.556682927,girl
34.5,15.79329,18.345,1.555920732,girl
35.5,15.74526,18.29784,1.55645122,girl
36.5,15.69924,18.25475,1.558237805,girl
37.5,15.65523,18.21567,1.561243902,girl
38.5,15.61321,18.18051,1.565426829,girl
39.5,15.57317,18.14919,1.570743902,girl
40.5,15.53508,18.12165,1.577176829,girl
41.5,15.49893,18.09781,1.584682927,girl
42.5,15.4647,18.07759,1.59322561,girl
43.5,15.43238,18.06093,1.60277439,girl
44.5,15.40193,18.04775,1.613304878,girl
45.5,15.37335,18.03799,1.624780488,girl
46.5,15.34661,18.03158,1.637176829,girl
47.5,15.32168,18.02844,1.650463415,girl
48.5,15.29855,18.02851,1.664609756,girl
49.5,15.27719,18.03174,1.679603659,girl
50.5,15.25757,18.03805,1.695414634,girl
51.5,15.23967,18.04738,1.712018293,girl
52.5,15.22347,18.05967,1.729390244,girl
53.5,15.20894,18.07486,1.747512195,girl
54.5,15.19606,18.09289,1.766359756,girl
55.5,15.1848,18.1137,1.785914634,girl
56.5,15.17513,18.13722,1.806152439,girl
57.5,15.16703,18.16341,1.827060976,girl
58.5,15.16047,18.19221,1.848621951,girl
59.5,15.15543,18.22355,1.870804878,girl
60.5,15.15188,18.25738,1.893597561,girl
61.5,15.1498,18.29365,1.916981707,girl
62.5,15.14917,18.3323,1.940932927,girl
63.5,15.14995,18.37327,1.965439024,girl
64.5,15.15213,18.41651,1.99047561,girl
65.5,15.15567,18.46197,2.016036585,girl
66.5,15.16056,18.50959,2.042091463,girl
67.5,15.16678,18.55932,2.068621951,girl
68.5,15.17429,18.61111,2.095621951,girl
69.5,15.18309,18.6649,2.123054878,girl
70.5,15.19313,18.72064,2.150920732,girl
71.5,15.20441,18.77829,2.179195122,girl
72.5,15.2169,18.83778,2.207853659,girl
73.5,15.23058,18.89907,2.236884146,girl
74.5,15.24543,18.96211,2.266268293,girl
75.5,15.26142,19.02685,2.295993902,girl
76.5,15.27854,19.09324,2.326036585,girl
77.5,15.29676,19.16123,2.356384146,girl
78.5,15.31607,19.23077,2.387012195,girl
79.5,15.33644,19.30182,2.417914634,girl
80.5,15.35785,19.37432,2.449067073,girl
81.5,15.38029,19.44822,2.480445122,girl
82.5,15.40374,19.52349,2.512042683,girl
83.5,15.42817,19.60008,2.543847561,girl
84.5,15.45357,19.67794,2.575835366,girl
85.5,15.47991,19.75702,2.607993902,girl
86.5,15.50718,19.83728,2.640304878,girl
87.5,15.53537,19.91867,2.672743902,girl
88.5,15.56444,20.00116,2.705317073,girl
89.5,15.59439,20.08469,2.737987805,girl
90.5,15.6252,20.16923,2.77075,girl
91.5,15.65684,20.25473,2.803591463,girl
92.5,15.6893,20.34116,2.8365,girl
93.5,15.72257,20.42846,2.869445122,girl
94.5,15.75662,20.51661,2.902432927,girl
95.5,15.79143,20.60555,2.935439024,girl
96.5,15.827,20.69525,2.968445122,girl
97.5,15.86329,20.78568,3.001457317,girl
98.5,15.9003,20.87678,3.034439024,girl
99.5,15.93802,20.96853,3.067384146,girl
100.5,15.97641,21.06089,3.100292683,girl
101.5,16.01546,21.15381,3.133140244,girl
102.5,16.05517,21.24727,3.165914634,girl
103.5,16.09551,21.34123,3.198609756,girl
104.5,16.13646,21.43565,3.231213415,girl
105.5,16.17801,21.53049,3.263707317,girl
106.5,16.22014,21.62573,3.296091463,girl
107.5,16.26284,21.72133,3.328347561,girl
108.5,16.30609,21.81725,3.360463415,girl
109.5,16.34988,21.91347,3.392432927,girl
110.5,16.39418,22.00996,3.424256098,girl
111.5,16.43899,22.10667,3.455902439,girl
112.5,16.48428,22.20358,3.487378049,girl
113.5,16.53005,22.30066,3.518664634,girl
114.5,16.57627,22.39789,3.549768293,girl
115.5,16.62293,22.49522,3.580664634,girl
116.5,16.67002,22.59264,3.611353659,girl
117.5,16.71751,22.69011,3.641829268,girl
118.5,16.7654,22.78761,3.672079268,girl
119.5,16.81368,22.88511,3.702091463,girl
120.5,16.86231,22.98258,3.731871951,girl
121.5,16.9113,23.08,3.761402439,girl
122.5,16.96062,23.17734,3.790682927,girl
123.5,17.01026,23.27458,3.819707317,girl
124.5,17.06021,23.3717,3.848469512,girl
125.5,17.11045,23.46867,3.876963415,girl
126.5,17.16097,23.56546,3.905176829,girl
127.5,17.21174,23.66206,3.933121951,girl
128.5,17.26277,23.75845,3.960780488,girl
129.5,17.31403,23.8546,3.988152439,girl
130.5,17.36551,23.95049,4.015231707,girl
131.5,17.41719,24.0461,4.042018293,girl
132.5,17.46907,24.14141,4.0685,girl
133.5,17.52112,24.23641,4.094689024,girl
134.5,17.57333,24.33108,4.120579268,girl
135.5,17.6257,24.42539,4.146152439,girl
136.5,17.6782,24.51933,4.171420732,girl
137.5,17.73082,24.61288,4.196378049,girl
138.5,17.78356,24.70603,4.221018293,girl
139.5,17.83638,24.79876,4.245353659,girl
140.5,17.88929,24.89106,4.269371951,girl
141.5,17.94227,24.98291,4.293073171,girl
142.5,17.99531,25.0743,4.316457317,girl
143.5,18.04838,25.16522,4.339536585,girl
144.5,18.10149,25.25564,4.362286585,girl
145.5,18.15461,25.34557,4.384731707,girl
146.5,18.20774,25.43498,4.406853659,girl
147.5,18.26085,25.52387,4.428670732,girl
148.5,18.31395,25.61223,4.450170732,girl
149.5,18.36701,25.70005,4.471365854,girl
150.5,18.42002,25.78731,4.49225,girl
151.5,18.47298,25.87401,4.512823171,girl
152.5,18.52586,25.96013,4.533091463,girl
153.5,18.57866,26.04568,4.553060976,girl
154.5,18.63136,26.13065,4.572737805,girl
155.5,18.68396,26.21502,4.592109756,girl
156.5,18.73643,26.2988,4.61120122,girl
157.5,18.78878,26.38197,4.629993902,girl
158.5,18.84098,26.46453,4.648506098,girl
159.5,18.89302,26.54648,4.666743902,girl
160.5,18.9449,26.62782,4.684707317,girl
161.5,18.9966,26.70853,4.702396341,girl
162.5,19.04811,26.78862,4.719823171,girl
163.5,19.09942,26.86808,4.736987805,girl
164.5,19.15052,26.94692,4.753902439,girl
165.5,19.20139,27.02513,4.770573171,girl
166.5,19.25204,27.1027,4.786987805,girl
167.5,19.30243,27.17965,4.803182927,girl
168.5,19.35257,27.25597,4.819146341,girl
169.5,19.40245,27.33167,4.834890244,girl
170.5,19.45204,27.40673,4.850420732,girl
171.5,19.50136,27.48118,4.865743902,girl
172.5,19.55037,27.555,4.880871951,girl
173.5,19.59907,27.6282,4.895810976,girl
174.5,19.64746,27.70079,4.910567073,girl
175.5,19.69552,27.77277,4.925152439,girl
176.5,19.74325,27.84414,4.939567073,girl
177.5,19.79062,27.91491,4.953835366,girl
178.5,19.83764,27.98509,4.967957317,girl
179.5,19.88429,28.05468,4.981945122,girl
180.5,19.93057,28.12369,4.995804878,girl
181.5,19.97646,28.19213,5.009554878,girl
182.5,20.02195,28.26,5.02320122,girl
183.5,20.06704,28.32732,5.036756098,girl
184.5,20.11172,28.39408,5.050219512,girl
185.5,20.15598,28.46031,5.063615854,girl
186.5,20.19981,28.52602,5.076957317,girl
187.5,20.2432,28.5912,5.090243902,girl
188.5,20.28614,28.65588,5.1035,girl
189.5,20.32862,28.72007,5.116737805,girl
190.5,20.37064,28.78378,5.129963415,girl
191.5,20.41219,28.84702,5.143189024,girl
192.5,20.45326,28.90981,5.156432927,girl
193.5,20.49383,28.97215,5.169707317,girl
194.5,20.53392,29.03407,5.183018293,girl
195.5,20.57349,29.09558,5.196396341,girl
196.5,20.61256,29.1567,5.209841463,girl
197.5,20.65111,29.21743,5.223365854,girl
198.5,20.68912,29.27781,5.237006098,girl
199.5,20.72661,29.33784,5.25075,girl
200.5,20.76355,29.39755,5.264634146,girl
201.5,20.79994,29.45695,5.278664634,girl
202.5,20.83578,29.51606,5.292853659,girl
203.5,20.87105,29.57491,5.307231707,girl
204.5,20.90576,29.6335,5.321792683,girl
205.5,20.93988,29.69187,5.336579268,girl
206.5,20.97343,29.75004,5.351591463,girl
207.5,21.00638,29.80802,5.366853659,girl
208.5,21.03874,29.86584,5.382378049,girl
209.5,21.07049,29.92352,5.398189024,girl
210.5,21.10163,29.98109,5.414304878,girl
211.5,21.13216,30.03857,5.430737805,girl
212.5,21.16206,30.09599,5.447518293,girl
213.5,21.19134,30.15337,5.464652439,girl
214.5,21.21997,30.21074,5.482176829,girl
215.5,21.24797,30.26812,5.500091463,girl
